# q	Intensity	Error	qError
2.090778442715015839e-01 1.838124552707934567e-01 4.758091496962891381e-02 1.222603743130671803e-04
2.145415117936124161e-01 2.094566401966131974e-01 4.929505941860492374e-02 1.203169347606778701e-04
2.198317434104270773e-01 2.876863479511996280e-01 4.899479188177340711e-02 1.233012430675693315e-04
2.253123386155440888e-01 3.353677804230386639e-01 4.653128720057637946e-02 1.141676224988224066e-04
2.308741867745754406e-01 2.873165820896186329e-01 4.549827702921507150e-02 1.167092814200127918e-04
2.362348200964458911e-01 2.801433775113301161e-01 4.725352786890332779e-02 1.176036965439450322e-04
2.415194426551158791e-01 2.715995975068755675e-01 4.507875041866411803e-02 1.142074610274519317e-04
2.468479494167828969e-01 2.555961664108814535e-01 4.560100625124253321e-02 1.150458719847019404e-04
2.523648498984565336e-01 2.382196596446199410e-01 4.237318206527155434e-02 1.075318625068621259e-04
2.578481965121659503e-01 1.916945683087191155e-01 4.389047925812955553e-02 1.134429470655889049e-04
2.630697766010609562e-01 1.718459898415941045e-01 4.290954381712910187e-02 1.111335595318930353e-04
2.684447242321442162e-01 1.932454041145651169e-01 4.251067914931507680e-02 1.068988977830056852e-04
2.738573683933423486e-01 1.968490200194882300e-01 4.265647376347843356e-02 1.089761685644753610e-04
2.792662427474351117e-01 1.948138851240338865e-01 4.073736069445763747e-02 1.043511054818625745e-04
2.847604204561720587e-01 1.662923199830744769e-01 4.095467914952273525e-02 1.056310710714688925e-04
2.901924243025822414e-01 1.553631018525598595e-01 4.020672761699525810e-02 1.037651536321139006e-04
2.955971563424296678e-01 1.364987303325312928e-01 4.015369034237379481e-02 1.031751223266431190e-04
3.010048311071444882e-01 1.937744578404117790e-01 4.016411380023668376e-02 1.031904237226093741e-04
3.063355816373553586e-01 1.606162761350442836e-01 3.996079745693886104e-02 1.014514436051420826e-04
3.117317988954761976e-01 2.637666463104290093e-01 4.124175654706133121e-02 1.014669882461632412e-04
3.172256417295423736e-01 1.703285861762808828e-01 3.705271305133484017e-02 9.720818384872832328e-05
3.226838825398407051e-01 1.477601203961653453e-01 3.904243808781435177e-02 1.003777901241674329e-04
3.280117912998243845e-01 1.398132156236027435e-01 3.787958789713521957e-02 9.877874426293800419e-05
3.333016372890164614e-01 1.320051746906880652e-01 3.726551081668605381e-02 9.827325204855192362e-05
3.386741108951352164e-01 1.243418525567667049e-01 3.644919266340247710e-02 9.677340091148618208e-05
3.441552090467246416e-01 1.709094207335540017e-01 3.567995222546421763e-02 9.395651466570404959e-05
3.495788636161819007e-01 1.887170380884432563e-01 3.702136957971911835e-02 9.680669956583362796e-05
3.549695938561805986e-01 2.110814277347557166e-01 3.571110058565519357e-02 9.354043392077341984e-05
3.603969038455020479e-01 2.194711472557038523e-01 3.644968847659720707e-02 9.355706843245531219e-05
3.658321822233269738e-01 1.756031790964702743e-01 3.548408568667101026e-02 9.313154454444440766e-05
3.712513838417467182e-01 1.300378822916093691e-01 3.543785628729443499e-02 9.143927831495521894e-05
3.765994071482405281e-01 1.497162053044856500e-01 3.698275486094756287e-02 9.405717261889847498e-05
3.819959712259577422e-01 1.789092806859048923e-01 3.441823402677286758e-02 8.907604212122069486e-05
3.874374103798953750e-01 1.780572402452823555e-01 3.582928659027164592e-02 9.149064304124798254e-05
3.928504945209733701e-01 1.834266498955153812e-01 3.475337738659180914e-02 8.911028950470802686e-05
3.981669485592974622e-01 1.702394732939885857e-01 3.465903432898366499e-02 9.111267158089746522e-05
4.034560990965571081e-01 1.468130664135869623e-01 3.386905066162679279e-02 8.914466502213641130e-05
4.090363005567212995e-01 1.833468815323005818e-01 3.189896455437549877e-02 8.455112226351369593e-05
4.145546423827307092e-01 1.440854018277560322e-01 3.399352990272009462e-02 8.956850960008391283e-05
4.198704842822554295e-01 6.600732380769930296e-02 3.261021798582373205e-02 8.662426602876770242e-05
4.252034620361183626e-01 1.230442182755895758e-01 3.288368720593624894e-02 8.771840360577522796e-05
4.306256116660617805e-01 1.182641715321351289e-01 3.169081837351466618e-02 8.462103298192525747e-05
4.360878069030351134e-01 1.196912389344106098e-01 3.177520049179491379e-02 8.530312790158715494e-05
4.414077664261003564e-01 1.446206017519159337e-01 3.276506067989799764e-02 8.669749609558542887e-05
4.468253916606745313e-01 1.246703393580415598e-01 3.021556541343844646e-02 8.246786800330164916e-05
4.523323840975004284e-01 7.027925031969481373e-02 3.070140381451970379e-02 8.404587131433358972e-05
4.576988725274648284e-01 9.621291787521354943e-02 3.104897063677236960e-02 8.406453422031087848e-05
4.630447924891573086e-01 7.780886149541893504e-02 3.004313514608287355e-02 8.282829498686073084e-05
4.684037144515966755e-01 9.870631311827660070e-02 3.059485730561190692e-02 8.378323141028227419e-05
4.738355526608297175e-01 1.043077979492545021e-01 2.925248654576757812e-02 7.995782960920455563e-05
4.793766695990301363e-01 6.084700306680272675e-02 3.041138787861295822e-02 8.168488244414993731e-05
4.846912092567183805e-01 7.974097887938738638e-02 3.005835117898223580e-02 8.260009749878718976e-05
